"id","name","nation","pos","club","rating","rarity"
"1200","Jarell Quansah","England","DF","Bayer Leverkusen","75","rare"
"1206","Elliot Anderson","England","MF","Nottingham Forest","75","rare"
"4","Vladimír Coufal","Czech Republic","DF","TSG Hoffenheim","74","rare"
"15","Lukáš Provod","Czech Republic","MF","Slavia Prague","74","rare"
"31","César Montes","Mexico","DF","Lokomotiv Moscow","74","rare"
"37","Orbelín Pineda","Mexico","MF","AEK Athens","74","rare"
"50","Julián Quiñones","Mexico","FW","Al-Qadsiah","74","rare"
"101","Yang Hyun-jun","South Korea","MF","Celtic","74","rare"
"129","Haris Tabaković","Bosnia and Herzegovina","FW","Borussia Mönchengladbach","74","rare"
"145","Moïse Bombito","Canada","DF","Nice","74","rare"
"186","Silvan Widmer","Switzerland","DF","Mainz 05","74","rare"
"225","Douglas Santos","Brazil","DF","Zenit Saint Petersburg","74","rare"
"228","Endrick","Brazil","FW","Lyon","74","rare"
"250","Jean-Ricner Bellegarde","Haiti","MF","Wolverhampton Wanderers","74","rare"
"275","Azzedine Ounahi","Morocco","MF","Girona","74","rare"
"289","Angus Gunn","Scotland","GK","Nottingham Forest","74","rare"
"299","Aaron Hickey","Scotland","DF","Brentford","74","rare"
"303","Ryan Christie","Scotland","MF","Bournemouth","74","rare"
"346","Omar Alderete","Paraguay","DF","Sunderland","74","rare"
"355","Diego Gómez","Paraguay","MF","Brighton & Hove Albion","74","rare"
"369","Ersin Destanoğlu","Turkey","GK","Beşiktaş","74","rare"
"376","Ozan Kabak","Turkey","DF","TSG Hoffenheim","74","rare"
"378","Eren Elmalı","Turkey","DF","Galatasaray","74","rare"
"384","Kaan Ayhan","Turkey","MF","Galatasaray","74","rare"
"386","İsmail Yüksek","Turkey","MF","Fenerbahçe","74","rare"
"391","İrfan Can Kahveci","Turkey","FW","Kasımpaşa","74","rare"
"396","Oğuz Aydın","Turkey","FW","Fenerbahçe","74","rare"
"406","Auston Trusty","United States","DF","Celtic","74","rare"
"407","Giovanni Reyna","United States","MF","Borussia Mönchengladbach","74","rare"
"423","Joe Scally","United States","DF","Borussia Mönchengladbach","74","rare"
"444","Armando Obispo","Curaçao","DF","PSV Eindhoven","74","rare"
"465","Enner Valencia","Ecuador","FW","Pachuca","74","rare"
"490","Oliver Baumann","Germany","GK","TSG Hoffenheim","74","rare"
"492","Maximilian Beier","Germany","FW","Borussia Dortmund","74","rare"
"512","Emmanuel Agbadou","Ivory Coast","DF","Beşiktaş","74","rare"
"546","Tsuyoshi Watanabe","Japan","DF","Feyenoord","74","rare"
"575","Guus Til","Netherlands","MF","PSV Eindhoven","74","rare"
"576","Memphis Depay","Netherlands","FW","Corinthians","74","rare"
"590","Daniel Svensson","Sweden","DF","Borussia Dortmund","74","rare"
"597","Carl Starfelt","Sweden","DF","Celta Vigo","85","rare"
"598","Jesper Karlström","Sweden","MF","Udinese","74","rare"
"600","Yasin Ayari","Sweden","MF","Brighton & Hove Albion","74","rare"
"601","Mattias Svanberg","Sweden","MF","VfL Wolfsburg","74","rare"
"638","Thomas Meunier","Belgium","DF","Lille","74","rare"
"643","Brandon Mechele","Belgium","DF","Club Brugge","74","rare"
"779","Mohamed Kanno","Saudi Arabia","MF","Al-Hilal","74","rare"
"792","Marc Pubill","Spain","DF","Atlético Madrid","74","rare"
"819","Santiago Mele","Uruguay","GK","Monterrey","74","rare"
"821","Matías Viña","Uruguay","DF","River Plate","74","rare"
"823","Guillermo Varela","Uruguay","DF","Flamengo","74","rare"
"900","Patrick Berg","Norway","MF","Bodø/Glimt","74","rare"
"910","Marcus Holmgren Pedersen","Norway","DF","Torino","74","rare"
"912","Kristian Thorstvedt","Norway","MF","Sassuolo","74","rare"
"916","Oscar Bobb","Norway","MF","Fulham","74","rare"
"942","Ismaïla Sarr","Senegal","FW","Crystal Palace","74","rare"
"943","Iliman Ndiaye","Senegal","FW","Everton","74","rare"
"963","Hicham Boudaoui","Algeria","MF","Nice","74","rare"
"965","Houssem Aouar","Algeria","MF","Al-Ittihad","74","rare"
"966","Ibrahim Maza","Algeria","MF","Bayer Leverkusen","74","rare"
"991","Giuliano Simeone","Argentina","FW","Atlético Madrid","74","rare"
"1021","Patrick Wimmer","Austria","MF","VfL Wolfsburg","74","rare"
"1023","Marco Friedl","Austria","DF","Werder Bremen","74","rare"
"1059","Santiago Arias","Colombia","DF","Independiente","74","rare"
"1071","Kevin Castaño","Colombia","MF","River Plate","74","rare"
"1072","Jorge Carrascal","Colombia","MF","Flamengo","74","rare"
"1084","Chancel Mbemba","DR Congo","DF","Lille","74","rare"
"1181","Nikola Moro","Croatia","MF","Bologna","74","rare"
"1183","Ivan Perišić","Croatia","FW","PSV Eindhoven","74","rare"
"1214","Ivan Toney","England","FW","Al-Ahli","74","rare"
"1230","Abdul Fatawu","Ghana","MF","Leicester City","74","rare"
"5","Tomáš Holeš","Czech Republic","DF","Slavia Prague","73","rare"
"7","David Zima","Czech Republic","DF","Slavia Prague","73","rare"
"9","David Jurásek","Czech Republic","DF","Slavia Prague","73","rare"
"11","Robin Hranáč","Czech Republic","DF","TSG Hoffenheim","73","rare"
"17","Pavel Šulc","Czech Republic","MF","Lyon","73","rare"
"30","Jesús Gallardo","Mexico","DF","Toluca","73","rare"
"32","Jorge Sánchez","Mexico","DF","PAOK","73","rare"
"34","Israel Reyes","Mexico","DF","América","73","rare"
"38","Roberto Alvarado","Mexico","MF","Guadalajara","73","rare"
"39","Luis Romo","Mexico","MF","Guadalajara","73","rare"
"40","Luis Chávez","Mexico","MF","Dynamo Moscow","73","rare"
"47","Alexis Vega","Mexico","FW","Toluca","73","rare"
"104","Oh Hyeon-gyu","South Korea","FW","Beşiktaş","86","rare"
"131","Dayne St. Clair","Canada","GK","Inter Miami CF","73","rare"
"138","Ismaël Koné","Canada","MF","Sassuolo","73","rare"
"139","Cyle Larin","Canada","FW","Southampton","73","rare"
"147","Tajon Buchanan","Canada","MF","Villarreal","73","rare"
"203","Michel Aebischer","Switzerland","MF","Pisa","73","rare"
"234","Igor Thiago","Brazil","FW","Brentford","73","rare"
"260","Wilson Isidor","Haiti","FW","Sunderland","73","rare"
"269","Anass Salah-Eddine","Morocco","DF","PSV Eindhoven","73","rare"
"270","Chadi Riad","Morocco","DF","Crystal Palace","73","rare"
"272","Zakaria El Ouahdi","Morocco","DF","Genk","73","rare"
"278","Neil El Aynaoui","Morocco","MF","Roma","73","rare"
"282","Soufiane Rahimi","Morocco","FW","Al-Ain","73","rare"
"359","Maurício","Paraguay","MF","Palmeiras","73","rare"
"360","Antonio Sanabria","Paraguay","FW","Cremonese","73","rare"
"368","Altay Bayındır","Turkey","GK","Manchester United","73","rare"
"399","Can Uzun","Turkey","FW","Eintracht Frankfurt","73","rare"
"457","Jordy Alcívar","Ecuador","MF","Independiente del Valle","73","rare"
"498","Nadiem Amiri","Germany","MF","Mainz 05","73","rare"
"529","Elye Wahi","Ivory Coast","FW","Nice","73","rare"
"531","Zion Suzuki","Japan","GK","Parma","73","rare"
"532","Yukinari Sugawara","Japan","DF","Werder Bremen","73","rare"
"547","Yuito Suzuki","Japan","FW","SC Freiburg","73","rare"
"554","Kaishū Sano","Japan","MF","Mainz 05","73","rare"
"577","Wout Weghorst","Netherlands","FW","Ajax","73","rare"
"584","Gustaf Lagerbielke","Sweden","DF","Braga","73","rare"
"607","Gustaf Nilsson","Sweden","FW","Club Brugge","73","rare"
"614","Ali Abdi","Tunisia","DF","Nice","73","rare"
"652","Nicolas Raskin","Belgium","MF","Rangers","42","rare"
"675","Emam Ashour","Egypt","MF","Al Ahly","73","rare"
"768","Saud Abdulhamid","Saudi Arabia","DF","Lens","73","rare"
"780","Nasser Al-Dawsari","Saudi Arabia","MF","Al-Hilal","73","rare"
"834","Brian Rodríguez","Uruguay","MF","América","73","rare"
"896","Morten Thorsby","Norway","MF","Cremonese","73","rare"
"899","David Møller Wolfe","Norway","DF","Wolverhampton Wanderers","73","rare"
"911","Torbjørn Heggem","Norway","DF","Bologna","73","rare"
"938","Pathé Ciss","Senegal","MF","Rayo Vallecano","73","rare"
"1011","Michael Gregoritsch","Austria","FW","FC Augsburg","73","rare"
"1018","Romano Schmid","Austria","MF","Werder Bremen","73","rare"
"1022","Alexander Prass","Austria","DF","TSG Hoffenheim","73","rare"
"1057","Álvaro Montero","Colombia","GK","Vélez Sarsfield","73","rare"
"1068","Juan Fernando Quintero","Colombia","MF","River Plate","73","rare"
"1154","Eldor Shomurodov","Uzbekistan","FW","İstanbul Başakşehir","73","rare"
"1159","Abbosbek Fayzullaev","Uzbekistan","FW","İstanbul Başakşehir","73","rare"
"1171","Martin Erlić","Croatia","DF","Midtjylland","73","rare"
"1188","Igor Matanović","Croatia","FW","SC Freiburg","73","rare"
"1236","Jordan Ayew","Ghana","FW","Leicester City","73","rare"
"2","Jindřich Staněk","Czech Republic","GK","Slavia Prague","72","rare"
"16","Michal Sadílek","Czech Republic","MF","Slavia Prague","72","rare"
"24","Jan Kuchta","Czech Republic","FW","Sparta Prague","72","rare"
"27","Guillermo Ochoa","Mexico","GK","AEL Limassol","72","rare"
"41","Érik Lira","Mexico","MF","Cruz Azul","72","rare"
"49","César Huerta","Mexico","FW","Anderlecht","72","rare"
"67","Teboho Mokoena","South Africa","MF","Mamelodi Sundowns","72","rare"
"84","Seol Young-woo","South Korea","DF","Red Star Belgrade","72","rare"
"88","Lee Han-beom","South Korea","DF","Midtjylland","72","rare"
"96","Paik Seung-ho","South Korea","MF","Birmingham City","72","rare"
"105","Nikola Vasilj","Bosnia and Herzegovina","GK","FC St. Pauli","72","rare"
"121","Esmir Bajraktarević","Bosnia and Herzegovina","MF","PSV Eindhoven","72","rare"
"126","Edin Džeko","Bosnia and Herzegovina","FW","Schalke 04","72","rare"
"142","Tani Oluwaseyi","Canada","FW","Villarreal","72","rare"
"143","Derek Cornelius","Canada","DF","Rangers","72","rare"
"178","Almoez Ali","Qatar","FW","Al-Duhail","72","rare"
"185","Miro Muheim","Switzerland","DF","Hamburger SV","72","rare"
"192","Johan Manzambi","Switzerland","MF","SC Freiburg","72","rare"
"202","Noah Okafor","Switzerland","FW","Leeds United","72","rare"
"205","Fabian Rieder","Switzerland","MF","FC Augsburg","72","rare"
"211","Wesley","Brazil","DF","Roma","72","rare"
"215","Alex Sandro","Brazil","DF","Flamengo","72","rare"
"219","Neymar","Brazil","FW","Santos","72","rare"
"227","Danilo Santos","Brazil","MF","Botafogo","72","rare"
"235","Rayan","Brazil","FW","Bournemouth","72","rare"
"316","Alessandro Circati","Australia","DF","Parma","72","rare"
"332","Harry Souttar","Australia","DF","Leicester City","72","rare"
"340","Gatito Fernández","Paraguay","GK","Cerro Porteño","72","rare"
"352","Kaku","Paraguay","MF","Al-Ain","72","rare"
"353","Andrés Cubas","Paraguay","MF","Vancouver Whitecaps FC","72","rare"
"356","Damián Bobadilla","Paraguay","MF","São Paulo","72","rare"
"361","Julio Enciso","Paraguay","FW","Strasbourg","72","rare"
"412","Miles Robinson","United States","DF","FC Cincinnati","72","rare"
"419","Haji Wright","United States","FW","Coventry City","72","rare"
"422","Mark McKenzie","United States","DF","Toulouse","72","rare"
"426","Alejandro Zendejas","United States","FW","América","72","rare"
"449","Riechedly Bazoer","Curaçao","DF","Konyaspor","72","rare"
"453","Hernán Galíndez","Ecuador","GK","Huracán","72","rare"
"462","Kendry Páez","Ecuador","MF","River Plate","72","rare"
"463","Kevin Rodríguez","Ecuador","FW","Union Saint-Gilloise","72","rare"
"469","Ángelo Preciado","Ecuador","DF","Atlético Mineiro","72","rare"
"489","Nick Woltemade","Germany","FW","Newcastle United","72","rare"
"496","Nathaniel Brown","Germany","DF","Eintracht Frankfurt","72","rare"
"522","Nicolas Pépé","Ivory Coast","FW","Villarreal","72","rare"
"525","Evann Guessand","Ivory Coast","FW","Crystal Palace","72","rare"
"587","Gabriel Gudmundsson","Sweden","DF","Leeds United","72","rare"
"592","Benjamin Nygren","Sweden","FW","Celtic","72","rare"
"612","Montassar Talbi","Tunisia","DF","Lorient","72","rare"
"627","Rani Khedira","Tunisia","MF","Union Berlin","72","rare"
"644","Koni De Winter","Belgium","DF","Milan","72","rare"
"646","Nathan Ngoy","Belgium","DF","Lille","72","rare"
"661","Mohamed El Shenawy","Egypt","GK","Al Ahly","72","rare"
"687","Alireza Beiranvand","Iran","GK","Tractor","72","rare"
"754","Telmo Arcanjo","Cape Verde","MF","Vitória de Guimarães","72","rare"
"769","Hassan Al-Tambakti","Saudi Arabia","DF","Al-Hilal","72","rare"
"803","Joan Garcia","Spain","GK","Barcelona","72","rare"
"816","Borja Iglesias","Spain","FW","Celta Vigo","72","rare"
"827","Santiago Bueno","Uruguay","DF","Wolverhampton Wanderers","72","rare"
"831","Facundo Pellistri","Uruguay","MF","Panathinaikos","72","rare"
"837","Emiliano Martínez","Uruguay","MF","Palmeiras","72","rare"
"893","Ali Al-Hamadi","Iraq","FW","Luton Town","72","rare"
"923","Yehvann Diouf","Senegal","GK","Nice","72","rare"
"929","El Hadji Malick Diouf","Senegal","DF","West Ham United","72","rare"
"939","Habib Diarra","Senegal","MF","Sunderland","72","rare"
"961","Nabil Bentaleb","Algeria","MF","Lille","72","rare"
"995","José Manuel López","Argentina","FW","Palmeiras","72","rare"
"1001","Alexander Schlager","Austria","GK","Red Bull Salzburg","72","rare"
"1010","Florian Grillitsch","Austria","MF","Braga","72","rare"
"1017","Carney Chukwuemeka","Austria","MF","Borussia Dortmund","72","rare"
"1066","James Rodríguez","Colombia","MF","Minnesota United FC","72","rare"
"1100","Cédric Bakambu","DR Congo","FW","Real Betis","72","rare"
"1165","Ivor Pandur","Croatia","GK","Hull City","72","rare"
"1187","Petar Musa","Croatia","FW","FC Dallas","72","rare"
"1198","Djed Spence","England","DF","Tottenham Hotspur","72","rare"
"1201","Jordan Henderson","England","MF","Brentford","72","rare"
"1222","Alexander Djiku","Ghana","DF","Spartak Moscow","72","rare"
"1223","Alidu Seidu","Ghana","DF","Rennes","72","rare"
"1239","Ernest Nuamah","Ghana","FW","Lyon","72","rare"
"1248","Michael Amir Murillo","Panama","DF","Beşiktaş","72","rare"
"26","Tomáš Chorý","Czech Republic","FW","Slavia Prague","71","rare"
"29","Carlos Acevedo","Mexico","GK","Santos Laguna","71","rare"
"80","Jo Hyeon-woo","South Korea","GK","Ulsan HD","71","rare"
"89","Jens Castrop","South Korea","DF","Borussia Mönchengladbach","71","rare"
"99","Bae Jun-ho","South Korea","MF","Stoke City","71","rare"
"103","Cho Gue-sung","South Korea","FW","Midtjylland","71","rare"
"146","Maxime Crépeau","Canada","GK","Orlando City SC","71","rare"
"154","Promise David","Canada","FW","Union Saint-Gilloise","71","rare"
"206","Zeki Amdouni","Switzerland","FW","Burnley","71","rare"
"294","Scott McKenna","Scotland","DF","Dinamo Zagreb","71","rare"
"379","Samet Akaydin","Turkey","DF","Çaykur Rizespor","71","rare"
"549","Kōki Ogawa","Japan","FW","NEC","71","rare"
"555","Junnosuke Suzuki","Japan","DF","Copenhagen","71","rare"
"613","Dylan Bronn","Tunisia","DF","Servette","71","rare"
"645","Joaquin Seys","Belgium","DF","Club Brugge","71","rare"
"681","Trézéguet","Egypt","FW","Al Ahly","71","rare"
"770","Abdulelah Al-Amri","Saudi Arabia","DF","Al-Nassr","71","rare"
"772","Ali Lajami","Saudi Arabia","DF","Al-Hilal","71","rare"
"788","Saleh Al-Shehri","Saudi Arabia","FW","Al-Ittihad","71","rare"
"836","Agustín Canobbio","Uruguay","MF","Fluminense","71","rare"
"838","Rodrigo Zalazar","Uruguay","MF","Braga","71","rare"
"913","Thelo Aasgaard","Norway","MF","Rangers","71","rare"
"917","Jens Petter Hauge","Norway","MF","Bodø/Glimt","71","rare"
"931","Antoine Mendy","Senegal","DF","Nice","71","rare"
"962","Ramiz Zerrouki","Algeria","MF","Twente","71","rare"
"1016","Phillipp Mwene","Austria","DF","Mainz 05","71","rare"
"1065","Willer Ditta","Colombia","DF","Cruz Azul","71","rare"
"1226","Abdul Mumin","Ghana","DF","Rayo Vallecano","71","rare"
"10","David Douděra","Czech Republic","DF","Slavia Prague","70","rare"
"25","Mojmír Chytil","Czech Republic","FW","Slavia Prague","70","rare"
"28","Raúl Rangel","Mexico","GK","Guadalajara","70","rare"
"35","Mateo Chávez","Mexico","DF","AZ","70","rare"
"55","Sipho Chaine","South Africa","GK","Orlando Pirates","70","rare"
"71","Themba Zwane","South Africa","FW","Mamelodi Sundowns","70","rare"
"72","Lyle Foster","South Africa","FW","Burnley","70","rare"
"79","Kim Seung-gyu","South Korea","GK","FC Tokyo","70","rare"
"85","Lee Tae-seok","South Korea","DF","Austria Wien","70","rare"
"100","Eom Ji-sung","South Korea","MF","Swansea City","70","rare"
"109","Dennis Hadžikadunić","Bosnia and Herzegovina","DF","Sampdoria","70","rare"
"112","Tarik Muharemović","Bosnia and Herzegovina","DF","Sassuolo","70","rare"
"116","Amir Hadžiahmetović","Bosnia and Herzegovina","MF","Hull City","70","rare"
"136","Mathieu Choinière","Canada","MF","Los Angeles FC","70","rare"
"141","Liam Millar","Canada","MF","Hull City","70","rare"
"151","Jonathan Osorio","Canada","MF","Toronto FC","70","rare"
"195","Yvon Mvogo","Switzerland","GK","Lorient","70","rare"
"199","Christian Fassnacht","Switzerland","MF","Young Boys","70","rare"
"207","Aurèle Amenda","Switzerland","DF","Eintracht Frankfurt","70","rare"
"268","Youssef Belammari","Morocco","DF","Al Ahly","70","rare"
"295","Jack Hendry","Scotland","DF","Al-Ettifaq","70","rare"
"296","Nathan Patterson","Scotland","DF","Everton","70","rare"
"304","Kenny McLean","Scotland","MF","Norwich City","70","rare"
"311","Lawrence Shankland","Scotland","FW","Heart of Midlothian","56","rare"
"314","Mathew Ryan","Australia","GK","Levante","70","rare"
"318","Jordan Bos","Australia","DF","Feyenoord","70","rare"
"335","Jackson Irvine","Australia","MF","FC St. Pauli","70","rare"
"357","Braian Ojeda","Paraguay","MF","Orlando City SC","70","rare"
"358","Matías Galarza","Paraguay","MF","Atlanta United FC","70","rare"
"382","Ahmetcan Kaplan","Turkey","DF","NEC","70","rare"
"397","Deniz Gül","Turkey","FW","Porto","70","rare"
"401","Matt Turner","United States","GK","New England Revolution","70","rare"
"446","Joshua Brenet","Curaçao","DF","Kayserispor","70","rare"
"506","Alban Lafont","Ivory Coast","GK","Panathinaikos","70","rare"
"523","Oumar Diakité","Ivory Coast","FW","Cercle Brugge","70","rare"
"527","Yan Diomande","Ivory Coast","FW","RB Leipzig","70","rare"
"550","Ayumu Seko","Japan","DF","Le Havre","70","rare"
"559","Robin Roefs","Netherlands","GK","Sunderland","70","rare"
"583","Jacob Widell Zetterström","Sweden","GK","Derby County","70","rare"
"596","Hjalmar Ekdal","Sweden","DF","Burnley","70","rare"
"604","Besfort Zeneli","Sweden","MF","Union Saint-Gilloise","70","rare"
"666","Ramy Rabia","Egypt","DF","Al-Ain","70","rare"
"670","Yasser Ibrahim","Egypt","DF","Al Ahly","70","rare"
"682","Zizo","Egypt","FW","Al Ahly","70","rare"
"699","Saeid Ezatolahi","Iran","MF","Shabab Al-Ahli","70","rare"
"747","Steven Moreira","Cape Verde","DF","Columbus Crew","70","rare"
"765","Mohammed Al-Owais","Saudi Arabia","GK","Al-Ula","70","rare"
"815","Víctor Muñoz","Spain","FW","Osasuna","70","rare"
"817","Fernando Muslera","Uruguay","GK","Estudiantes","70","rare"
"909","Fredrik André Bjørkan","Norway","DF","Bodø/Glimt","70","rare"
"932","Ilay Camara","Senegal","DF","Anderlecht","70","rare"
"1014","Saša Kalajdžić","Austria","FW","LASK","70","rare"
"1064","Deiver Machado","Colombia","DF","Nantes","70","rare"
"1094","Charles Pickel","DR Congo","MF","Espanyol","70","rare"
"1106","Simon Banza","DR Congo","FW","Al-Jazira","70","rare"
"1191","James Trafford","England","GK","Manchester City","70","rare"
"1220","Abdul Rahman Baba","Ghana","DF","PAOK","70","rare"
"1259","Adalberto Carrasquilla","Panama","MF","UNAM","70","rare"
"57","Khuliso Mudau","South Africa","DF","Mamelodi Sundowns","69","common"
"74","Oswin Appollis","South Africa","FW","Orlando Pirates","69","common"
"75","Iqraam Rayners","South Africa","FW","Mamelodi Sundowns","69","common"
"87","Kim Tae-hyeon","South Korea","DF","Kashima Antlers","69","common"
"144","Jacob Shaffelburg","Canada","MF","Los Angeles FC","69","common"
"208","Luca Jaquez","Switzerland","DF","VfB Stuttgart","69","common"
"298","John Souttar","Scotland","DF","Rangers","69","common"
"364","Isidro Pitta","Paraguay","FW","Red Bull Bragantino","69","common"
"413","Tim Ream","United States","DF","Charlotte FC","69","common"
"466","Alan Minda","Ecuador","MF","Atlético Mineiro","69","common"
"615","Yan Valery","Tunisia","DF","Young Boys","69","common"
"660","Matias Fernandez-Pardo","Belgium","FW","Lille","69","common"
"667","Mohamed Hany","Egypt","DF","Al Ahly","69","common"
"698","Alireza Jahanbakhsh","Iran","MF","Dender","69","common"
"704","Mehdi Ghayedi","Iran","MF","Al-Nasr","69","common"
"766","Nawaf Al-Aqidi","Saudi Arabia","GK","Al-Nassr","69","common"
"771","Nawaf Boushal","Saudi Arabia","DF","Al-Nassr","69","common"
"773","Ali Majrashi","Saudi Arabia","DF","Al-Ahli","69","common"
"787","Firas Al-Buraikan","Saudi Arabia","FW","Al-Ahli","69","common"
"1075","Gustavo Puerta","Colombia","MF","Racing Santander","69","common"
"1103","Fiston Mayele","DR Congo","FW","Pyramids","69","common"
"8","Jaroslav Zelený","Czech Republic","DF","Sparta Prague","68","common"
"18","Lukáš Červ","Czech Republic","MF","Viktoria Plzeň","68","common"
"19","Hugo Sochůrek","Czech Republic","MF","Sparta Prague","68","common"
"21","Denis Višinský","Czech Republic","MF","Viktoria Plzeň","68","common"
"56","Aubrey Modiba","South Africa","DF","Mamelodi Sundowns","68","common"
"76","Relebohile Mofokeng","South Africa","FW","Orlando Pirates","68","common"
"81","Song Bum-keun","South Korea","GK","Jeonbuk Hyundai Motors","68","common"
"86","Park Jin-seob","South Korea","DF","Zhejiang","68","common"
"98","Lee Dong-gyeong","South Korea","MF","Ulsan HD","68","common"
"111","Nikola Katić","Bosnia and Herzegovina","DF","Schalke 04","68","common"
"115","Nidal Čelik","Bosnia and Herzegovina","DF","Lens","68","common"
"117","Benjamin Tahirović","Bosnia and Herzegovina","MF","Brøndby","68","common"
"123","Ivan Šunjić","Bosnia and Herzegovina","MF","Pafos","68","common"
"135","Joel Waterman","Canada","DF","Chicago Fire FC","68","common"
"152","Richie Laryea","Canada","DF","Toronto FC","68","common"
"156","Meshaal Barsham","Qatar","GK","Al-Sadd","68","common"
"179","Mohammed Muntari","Qatar","FW","Al-Gharafa","68","common"
"201","Eray Cömert","Switzerland","DF","Valencia","68","common"
"240","Carlens Arcus","Haiti","DF","Angers","68","common"
"245","Hannes Delcroix","Haiti","DF","Lugano","68","common"
"279","Samir El Mourabet","Morocco","MF","Strasbourg","68","common"
"288","Craig Gordon","Scotland","GK","Heart of Midlothian","68","common"
"290","Liam Kelly","Scotland","GK","Rangers","68","common"
"297","Anthony Ralston","Scotland","DF","Celtic","87","common"
"321","Connor Metcalfe","Australia","MF","FC St. Pauli","68","common"
"333","Cristian Volpato","Australia","FW","Sassuolo","68","common"
"347","Juan José Cáceres","Paraguay","DF","Dynamo Moscow","68","common"
"362","Gabriel Ávalos","Paraguay","FW","Independiente","68","common"
"380","Yusuf Akçiçek","Turkey","DF","Al-Hilal","68","common"
"381","Mustafa Eskihellaç","Turkey","DF","Trabzonspor","68","common"
"398","Yusuf Sarı","Turkey","FW","İstanbul Başakşehir","68","common"
"415","Cristian Roldan","United States","MF","Seattle Sounders FC","68","common"
"460","Denil Castillo","Ecuador","MF","Midtjylland","68","common"
"461","John Yeboah","Ecuador","MF","Venezia","68","common"
"468","Anthony Valencia","Ecuador","FW","Antwerp","68","common"
"472","Nilson Angulo","Ecuador","FW","Sunderland","68","common"
"513","Guéla Doué","Ivory Coast","DF","Strasbourg","68","common"
"533","Shōgo Taniguchi","Japan","DF","Sint-Truiden","68","common"
"556","Kento Shiogai","Japan","FW","VfL Wolfsburg","68","common"
"594","Viktor Johansson","Sweden","GK","Stoke City","68","common"
"602","Eric Smith","Sweden","DF","FC St. Pauli","68","common"
"665","Hamdy Fathy","Egypt","DF","Al-Wakrah","68","common"
"668","Ahmed Fatouh","Egypt","DF","Zamalek","68","common"
"674","Marwan Attia","Egypt","MF","Al Ahly","68","common"
"688","Payam Niazmand","Iran","GK","Persepolis","68","common"
"691","Milad Mohammadi","Iran","DF","Persepolis","68","common"
"693","Hossein Kanaanizadegan","Iran","DF","Persepolis","68","common"
"700","Saman Ghoddos","Iran","MF","Kalba","68","common"
"716","Tyler Bindon","New Zealand","DF","Sheffield United","68","common"
"744","João Paulo","Cape Verde","DF","FCSB","68","common"
"760","Jovane Cabral","Cape Verde","FW","Estrela Amadora","68","common"
"774","Hassan Kadesh","Saudi Arabia","DF","Al-Ittihad","68","common"
"775","Moteb Al-Harbi","Saudi Arabia","DF","Al-Hilal","68","common"
"789","Abdullah Al-Hamdan","Saudi Arabia","FW","Al-Nassr","68","common"
"865","Robin Risser","France","GK","Lens","68","common"
"885","Zidane Iqbal","Iraq","MF","Utrecht","68","common"
"906","Sander Tangvik","Norway","GK","Hamburger SV","68","common"
"930","Mamadou Sarr","Senegal","DF","Chelsea","68","common"
"940","Bara Sapoko Ndiaye","Senegal","MF","Bayern Munich","68","common"
"946","Cherif Ndiaye","Senegal","FW","Samsunspor","68","common"
"956","Jaouen Hadjam","Algeria","DF","Young Boys","68","common"
"982","Valentín Barco","Argentina","MF","Strasbourg","68","common"
"1007","Marko Arnautović","Austria","FW","Red Star Belgrade","68","common"
"1013","Patrick Pentz","Austria","GK","Brøndby","68","common"
"1073","Jaminton Campaz","Colombia","MF","Rosario Central","68","common"
"1080","Andrés Gómez","Colombia","FW","Vasco da Gama","68","common"
"1085","Arthur Masuaku","DR Congo","DF","Lens","68","common"
"1089","Axel Tuanzebe","DR Congo","DF","Burnley","68","common"
"1098","Ngal'ayel Mukau","DR Congo","MF","Lille","68","common"
"1101","Meschak Elia","DR Congo","FW","Alanyaspor","68","common"
"1102","Théo Bongonda","DR Congo","FW","Spartak Moscow","68","common"
"1156","Jaloliddin Masharipov","Uzbekistan","FW","Esteghlal","68","common"
"1172","Luka Vušković","Croatia","DF","Hamburger SV","68","common"
"1186","Marco Pašalić","Croatia","FW","Orlando City SC","68","common"
"1221","Gideon Mensah","Ghana","DF","Auxerre","68","common"
"1224","Jerome Opoku","Ghana","DF","İstanbul Başakşehir","68","common"
"1232","Elisha Owusu","Ghana","MF","Auxerre","68","common"
"1235","Augustine Boakye","Ghana","MF","Saint-Étienne","68","common"
"1250","Andrés Andrade","Panama","DF","LASK","68","common"
"1252","José Córdoba","Panama","DF","Norwich City","68","common"
"12","Štěpán Chaloupek","Czech Republic","DF","Slavia Prague","67","common"
"43","Brian Gutiérrez","Mexico","MF","Guadalajara","67","common"
"58","Nkosinathi Sibisi","South Africa","DF","Orlando Pirates","67","common"
"69","Thalente Mbatha","South Africa","MF","Orlando Pirates","67","common"
"73","Evidence Makgopa","South Africa","FW","Orlando Pirates","67","common"
"83","Kim Moon-hwan","South Korea","DF","Daejeon Hana Citizen","67","common"
"118","Armin Gigović","Bosnia and Herzegovina","MF","Young Boys","67","common"
"124","Kerim Alajbegović","Bosnia and Herzegovina","MF","Red Bull Salzburg","67","common"
"134","Alfie Jones","Canada","DF","Middlesbrough","67","common"
"160","Boualem Khoukhi","Qatar","DF","Al-Sadd","67","common"
"176","Hassan Al-Haydos","Qatar","FW","Al-Sadd","67","common"
"209","Cedric Itten","Switzerland","FW","Fortuna Düsseldorf","67","common"
